Veiculo ID: 2 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 2 | Pos_Esteira_Fabrica: 0 | Loja: 1 | Pos_Esteira_Loja: 0
Veiculo ID: 15 | Cor: Azul | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 14 | Loja: 1 | Pos_Esteira_Loja: 14
Veiculo ID: 16 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 15 | Loja: 1 | Pos_Esteira_Loja: 15
Veiculo ID: 17 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 16 | Loja: 1 | Pos_Esteira_Loja: 16
Veiculo ID: 18 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 17 | Loja: 1 | Pos_Esteira_Loja: 17
Veiculo ID: 19 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 18 | Loja: 1 | Pos_Esteira_Loja: 18
Veiculo ID: 21 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 19 | Loja: 1 | Pos_Esteira_Loja: 19
Veiculo ID: 20 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 20 | Loja: 1 | Pos_Esteira_Loja: 20
Veiculo ID: 22 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 21 | Loja: 1 | Pos_Esteira_Loja: 21
Veiculo ID: 23 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 22 | Loja: 1 | Pos_Esteira_Loja: 22
Veiculo ID: 24 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 23 | Loja: 1 | Pos_Esteira_Loja: 23
Veiculo ID: 25 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 24 | Loja: 1 | Pos_Esteira_Loja: 24
Veiculo ID: 26 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 25 | Loja: 1 | Pos_Esteira_Loja: 25
Veiculo ID: 27 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 26 | Loja: 1 | Pos_Esteira_Loja: 26
Veiculo ID: 28 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 27 | Loja: 1 | Pos_Esteira_Loja: 27
Veiculo ID: 29 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 28 | Loja: 1 | Pos_Esteira_Loja: 28
Veiculo ID: 30 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 29 | Loja: 1 | Pos_Esteira_Loja: 29
Veiculo ID: 31 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 30 | Loja: 1 | Pos_Esteira_Loja: 30
Veiculo ID: 32 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 31 | Loja: 1 | Pos_Esteira_Loja: 31
Veiculo ID: 33 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 32 | Loja: 1 | Pos_Esteira_Loja: 32
Veiculo ID: 34 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 33 | Loja: 1 | Pos_Esteira_Loja: 33
Veiculo ID: 35 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 34 | Loja: 1 | Pos_Esteira_Loja: 34
Veiculo ID: 36 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 35 | Loja: 1 | Pos_Esteira_Loja: 35
Veiculo ID: 37 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 36 | Loja: 1 | Pos_Esteira_Loja: 36
Veiculo ID: 38 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 37 | Loja: 1 | Pos_Esteira_Loja: 37
Veiculo ID: 39 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 38 | Loja: 1 | Pos_Esteira_Loja: 38
Veiculo ID: 40 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 39 | Loja: 1 | Pos_Esteira_Loja: 39
Veiculo ID: 41 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 0 | Loja: 1 | Pos_Esteira_Loja: 40
Veiculo ID: 42 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 1 | Loja: 1 | Pos_Esteira_Loja: 41
Veiculo ID: 43 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 2 | Loja: 1 | Pos_Esteira_Loja: 42
Veiculo ID: 44 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 3 | Loja: 1 | Pos_Esteira_Loja: 43
Veiculo ID: 45 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 4 | Loja: 1 | Pos_Esteira_Loja: 44
Veiculo ID: 46 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 5 | Loja: 1 | Pos_Esteira_Loja: 45
Veiculo ID: 47 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 6 | Loja: 1 | Pos_Esteira_Loja: 46
Veiculo ID: 48 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 7 | Loja: 1 | Pos_Esteira_Loja: 47
Veiculo ID: 49 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 8 | Loja: 1 | Pos_Esteira_Loja: 48
Veiculo ID: 50 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 9 | Loja: 1 | Pos_Esteira_Loja: 49
Veiculo ID: 151 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 30 | Loja: 1 | Pos_Esteira_Loja: 0
Veiculo ID: 152 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 31 | Loja: 1 | Pos_Esteira_Loja: 1
Veiculo ID: 154 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 33 | Loja: 1 | Pos_Esteira_Loja: 2
Veiculo ID: 156 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 35 | Loja: 1 | Pos_Esteira_Loja: 3
Veiculo ID: 158 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 37 | Loja: 1 | Pos_Esteira_Loja: 4
Veiculo ID: 161 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 0 | Loja: 1 | Pos_Esteira_Loja: 5
Veiculo ID: 164 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 3 | Loja: 1 | Pos_Esteira_Loja: 6
Veiculo ID: 167 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 6 | Loja: 1 | Pos_Esteira_Loja: 7
Veiculo ID: 168 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 7 | Loja: 1 | Pos_Esteira_Loja: 8
Veiculo ID: 171 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 10 | Loja: 1 | Pos_Esteira_Loja: 9
Veiculo ID: 172 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 11 | Loja: 1 | Pos_Esteira_Loja: 10
Veiculo ID: 183 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 22 | Loja: 1 | Pos_Esteira_Loja: 11
Veiculo ID: 184 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 23 | Loja: 1 | Pos_Esteira_Loja: 12
Veiculo ID: 188 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 27 | Loja: 1 | Pos_Esteira_Loja: 13
Veiculo ID: 189 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 28 | Loja: 1 | Pos_Esteira_Loja: 14
Veiculo ID: 190 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 29 | Loja: 1 | Pos_Esteira_Loja: 15
Veiculo ID: 192 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 31 | Loja: 1 | Pos_Esteira_Loja: 16
Veiculo ID: 202 | Cor: Vermelho | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 1 | Loja: 1 | Pos_Esteira_Loja: 17
Veiculo ID: 207 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 6 | Loja: 1 | Pos_Esteira_Loja: 18
Veiculo ID: 208 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 2 | Pos_Esteira_Fabrica: 7 | Loja: 1 | Pos_Esteira_Loja: 19
