Veiculo ID: 102 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 20 | Loja: 3 | Pos_Esteira_Loja: 0
Veiculo ID: 146 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 25 | Loja: 3 | Pos_Esteira_Loja: 45
Veiculo ID: 147 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 26 | Loja: 3 | Pos_Esteira_Loja: 46
Veiculo ID: 148 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 27 | Loja: 3 | Pos_Esteira_Loja: 47
Veiculo ID: 149 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 28 | Loja: 3 | Pos_Esteira_Loja: 48
Veiculo ID: 150 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 29 | Loja: 3 | Pos_Esteira_Loja: 49
Veiculo ID: 157 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 36 | Loja: 3 | Pos_Esteira_Loja: 0
Veiculo ID: 159 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 38 | Loja: 3 | Pos_Esteira_Loja: 1
Veiculo ID: 162 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 1 | Loja: 3 | Pos_Esteira_Loja: 2
Veiculo ID: 163 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 2 | Loja: 3 | Pos_Esteira_Loja: 3
Veiculo ID: 165 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 4 | Loja: 3 | Pos_Esteira_Loja: 4
Veiculo ID: 166 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 5 | Loja: 3 | Pos_Esteira_Loja: 5
Veiculo ID: 169 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 9 | Loja: 3 | Pos_Esteira_Loja: 6
Veiculo ID: 174 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 13 | Loja: 3 | Pos_Esteira_Loja: 7
Veiculo ID: 176 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 15 | Loja: 3 | Pos_Esteira_Loja: 8
Veiculo ID: 177 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 16 | Loja: 3 | Pos_Esteira_Loja: 9
Veiculo ID: 178 | Cor: Vermelho | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 17 | Loja: 3 | Pos_Esteira_Loja: 10
Veiculo ID: 179 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 18 | Loja: 3 | Pos_Esteira_Loja: 11
Veiculo ID: 181 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 20 | Loja: 3 | Pos_Esteira_Loja: 12
Veiculo ID: 182 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 21 | Loja: 3 | Pos_Esteira_Loja: 13
Veiculo ID: 185 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 24 | Loja: 3 | Pos_Esteira_Loja: 14
Veiculo ID: 187 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 26 | Loja: 3 | Pos_Esteira_Loja: 15
Veiculo ID: 191 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 30 | Loja: 3 | Pos_Esteira_Loja: 16
Veiculo ID: 193 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 32 | Loja: 3 | Pos_Esteira_Loja: 17
Veiculo ID: 194 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 33 | Loja: 3 | Pos_Esteira_Loja: 18
Veiculo ID: 196 | Cor: Vermelho | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 35 | Loja: 3 | Pos_Esteira_Loja: 19
Veiculo ID: 197 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 36 | Loja: 3 | Pos_Esteira_Loja: 20
Veiculo ID: 198 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 37 | Loja: 3 | Pos_Esteira_Loja: 21
Veiculo ID: 203 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 2 | Loja: 3 | Pos_Esteira_Loja: 22
Veiculo ID: 206 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 5 | Loja: 3 | Pos_Esteira_Loja: 23
Veiculo ID: 209 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 4 | Pos_Esteira_Fabrica: 8 | Loja: 3 | Pos_Esteira_Loja: 24
Veiculo ID: 210 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 9 | Loja: 3 | Pos_Esteira_Loja: 25
